segment_id,parent_unit_id,morphology_status,architecture_status,preferred_morphology_source,preferred_architecture_source,structural_prior_method,availability,uncertainty_class,native_v1_rule,notes
trapezius_descending_part,trapezius,PARENT_ONLY,DIRECT_SEGMENT_WEAK,RIEM_2026,STIVER_2021,PARENT_CAPACITY_ALLOCATED_BY_SOURCE_PCSA_FRACTION,WEAKLY_ESTIMABLE,HIGH,ALLOW_PROVISIONAL_STRUCTURAL_SHARE,"Use Stiver PCSA fraction only as a model prior; never relabel it as adult-male measured morphology."
trapezius_transverse_part,trapezius,PARENT_ONLY,DIRECT_SEGMENT_WEAK,RIEM_2026,STIVER_2021,PARENT_CAPACITY_ALLOCATED_BY_SOURCE_PCSA_FRACTION,WEAKLY_ESTIMABLE,HIGH,ALLOW_PROVISIONAL_STRUCTURAL_SHARE,"Same source and constraints as descending part."
trapezius_ascending_part,trapezius,PARENT_ONLY,DIRECT_SEGMENT_WEAK,RIEM_2026,STIVER_2021,PARENT_CAPACITY_ALLOCATED_BY_SOURCE_PCSA_FRACTION,WEAKLY_ESTIMABLE,HIGH,ALLOW_PROVISIONAL_STRUCTURAL_SHARE,"Same source and constraints as descending part."
pectoralis_major_clavicular_part,pectoralis_major,PARENT_ONLY,DIRECT_SEGMENT_PARTIAL,RIEM_2026,FUNG_2009,PARENT_LATENT_ALLOCATION,UNKNOWN,HIGH,DO_NOT_NUMERICALLY_SPLIT_PARENT,"Fung provides architecture for clavicular versus sternal structure but not a compatible three-way clavicular/sternocostal/abdominal capacity split. Track development relatively; keep absolute segment share latent."
pectoralis_major_sternocostal_part,pectoralis_major,PARENT_ONLY,DIRECT_SEGMENT_PARTIAL,RIEM_2026,FUNG_2009,PARENT_LATENT_ALLOCATION,UNKNOWN,HIGH,DO_NOT_NUMERICALLY_SPLIT_PARENT,"Source sternal definition overlaps the app's lower two parts; no forced crosswalk."
pectoralis_major_abdominal_part,pectoralis_major,PARENT_ONLY,NO_COMPATIBLE_QUANTITATIVE_SEGMENT_ARCHITECTURE,RIEM_2026,,PARENT_LATENT_ALLOCATION,UNKNOWN,VERY_HIGH,DO_NOT_NUMERICALLY_SPLIT_PARENT,"Anatomically retained, but current quantitative segment physiology is inadequate."
deltoid_clavicular_part,deltoid,PARENT_ONLY,SEGMENT_ARCHITECTURE_IDENTIFIED_PENDING_EXTRACTION,RIEM_2026,PETERSON_RAYAN_2011,PARENT_LATENT_ALLOCATION,WEAKLY_ESTIMABLE,HIGH,KEEP_SHARE_LATENT_UNTIL_PRIMARY_VALUES_IMPORTED,"Part anatomy is strong; do not use secondary reproduced PCSA values as canonical evidence."
deltoid_acromial_part,deltoid,PARENT_ONLY,SEGMENT_ARCHITECTURE_IDENTIFIED_PENDING_EXTRACTION,RIEM_2026,PETERSON_RAYAN_2011,PARENT_LATENT_ALLOCATION,WEAKLY_ESTIMABLE,HIGH,KEEP_SHARE_LATENT_UNTIL_PRIMARY_VALUES_IMPORTED,"Part anatomy is strong; source extraction remains."
deltoid_spinal_part,deltoid,PARENT_ONLY,SEGMENT_ARCHITECTURE_IDENTIFIED_PENDING_EXTRACTION,RIEM_2026,PETERSON_RAYAN_2011,PARENT_LATENT_ALLOCATION,WEAKLY_ESTIMABLE,HIGH,KEEP_SHARE_LATENT_UNTIL_PRIMARY_VALUES_IMPORTED,"Part anatomy is strong; source extraction remains."
biceps_brachii_long_head,biceps_brachii,PARENT_ONLY,SEGMENT_ARCHITECTURE_IDENTIFIED_PENDING_EXTRACTION,RIEM_2026,MURRAY_2000,PARENT_LATENT_ALLOCATION,WEAKLY_ESTIMABLE,HIGH,KEEP_SHARE_LATENT_UNTIL_PRIMARY_VALUES_IMPORTED,"Whole-parent adult-male volume is strong. Head-specific morphology is not yet adult-male resolved."
biceps_brachii_short_head,biceps_brachii,PARENT_ONLY,SEGMENT_ARCHITECTURE_IDENTIFIED_PENDING_EXTRACTION,RIEM_2026,MURRAY_2000,PARENT_LATENT_ALLOCATION,WEAKLY_ESTIMABLE,HIGH,KEEP_SHARE_LATENT_UNTIL_PRIMARY_VALUES_IMPORTED,"Do not assume 50/50 long/short allocation."
triceps_brachii_long_head,triceps_brachii,PARENT_ONLY,SEGMENT_ARCHITECTURE_INCOMPLETE,RIEM_2026,MURRAY_2000,PARENT_LATENT_ALLOCATION,UNKNOWN,HIGH,DO_NOT_NUMERICALLY_SPLIT_PARENT,"Murray resolves useful elbow extensor architecture but not a clean complete three-head reference."
triceps_brachii_lateral_head,triceps_brachii,PARENT_ONLY,SEGMENT_ARCHITECTURE_INCOMPLETE,RIEM_2026,MURRAY_2000,PARENT_LATENT_ALLOCATION,UNKNOWN,HIGH,DO_NOT_NUMERICALLY_SPLIT_PARENT,"Keep absolute head share latent."
triceps_brachii_medial_head,triceps_brachii,PARENT_ONLY,SEGMENT_ARCHITECTURE_INCOMPLETE,RIEM_2026,,PARENT_LATENT_ALLOCATION,UNKNOWN,VERY_HIGH,DO_NOT_NUMERICALLY_SPLIT_PARENT,"Current priority source set lacks a compatible complete medial-head quantitative reference."
gluteus_medius_anterior_region,gluteus_medius,PARENT_ONLY,REGIONAL_ARCHITECTURE_NONMATCHING,RIEM_2026,FLACK_2014,PARENT_LATENT_ALLOCATION,UNKNOWN,VERY_HIGH,PROVISIONAL_STATE_NO_ABSOLUTE_SHARE,"Flack supports compartmentalisation but a four-compartment anatomy does not map numerically onto the app's coarse anterior/middle/posterior regions."
gluteus_medius_middle_region,gluteus_medius,PARENT_ONLY,REGIONAL_ARCHITECTURE_NONMATCHING,RIEM_2026,FLACK_2014,PARENT_LATENT_ALLOCATION,UNKNOWN,VERY_HIGH,PROVISIONAL_STATE_NO_ABSOLUTE_SHARE,"Treat region development as higher-uncertainty latent state."
gluteus_medius_posterior_region,gluteus_medius,PARENT_ONLY,REGIONAL_ARCHITECTURE_NONMATCHING,RIEM_2026,FLACK_2014,PARENT_LATENT_ALLOCATION,UNKNOWN,VERY_HIGH,PROVISIONAL_STATE_NO_ABSOLUTE_SHARE,"Treat region development as higher-uncertainty latent state."
