segment_id,unit_id,segment_name,segment_type,anatomical_status,state_policy,verification_status,notes
sternocleidomastoid_sternal_head,sternocleidomastoid,Sternal head,HEAD,FORMALLY_NAMED_HEAD,SHARED_PARENT,SOURCE_SUPPORTED_V0_1,
sternocleidomastoid_clavicular_head,sternocleidomastoid,Clavicular head,HEAD,FORMALLY_NAMED_HEAD,SHARED_PARENT,SOURCE_SUPPORTED_V0_1,
trapezius_descending_part,trapezius,Descending part,PART,FORMALLY_NAMED_PART,TRACK,SOURCE_SUPPORTED_V0_1,
trapezius_transverse_part,trapezius,Transverse part,PART,FORMALLY_NAMED_PART,TRACK,SOURCE_SUPPORTED_V0_1,
trapezius_ascending_part,trapezius,Ascending part,PART,FORMALLY_NAMED_PART,TRACK,SOURCE_SUPPORTED_V0_1,
pectoralis_major_clavicular_part,pectoralis_major,Clavicular part,PART,FORMALLY_NAMED_PART,TRACK,SOURCE_SUPPORTED_V0_1,
pectoralis_major_sternocostal_part,pectoralis_major,Sternocostal part,PART,FORMALLY_NAMED_PART,TRACK,SOURCE_SUPPORTED_V0_1,
pectoralis_major_abdominal_part,pectoralis_major,Abdominal part,PART,TA2_PARENTHESISED_PART,TRACK,TA2_VERIFIED_V0_1,TA2 lists the abdominal part in parentheses; keep the part addressable but preserve weaker terminological status.
diaphragm_sternal_part,diaphragm,Sternal part,PART,FORMALLY_NAMED_PART,SHARED_PARENT,TA2_SIDE_AGGREGATED_V0_1,TA2 names right/left sternal parts separately; My Mettle canonicalises them into one side-neutral reference part.
diaphragm_costal_part,diaphragm,Costal part,PART,FORMALLY_NAMED_PART,SHARED_PARENT,TA2_SIDE_AGGREGATED_V0_1,TA2 names right/left costal parts separately; My Mettle canonicalises them into one side-neutral reference part.
diaphragm_lumbar_part,diaphragm,Lumbar part,PART,FORMALLY_NAMED_PART,SHARED_PARENT,TA2_SIDE_AGGREGATED_V0_1,TA2 names right/left lumbar parts separately; My Mettle canonicalises them into one side-neutral reference part.
deltoid_clavicular_part,deltoid,Clavicular / anterior part,PART,FORMALLY_NAMED_PART,TRACK,SOURCE_SUPPORTED_V0_1,
