profile_id,entity_type,entity_id,variable,selected_source_id,selected_observation_id,mean,sd,unit,selection_status,selection_rule,notes
healthy_adult_male_v0_1,UNIT,levator_scapulae,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_levator_scapulae,53.76,9.02,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,pectoralis_minor,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_pectoralis_minor,55.84,11.14,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,pectoralis_major,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_pectoralis_major,424.28,102.17,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,deltoid,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_deltoid,493.77,96.83,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,triceps_brachii,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_triceps_brachii,496.46,111.70,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,coracobrachialis,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_coracobrachialis,35.84,7.39,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,biceps_brachii,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_biceps_brachii,203.63,48.26,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,brachialis,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_brachialis,158.67,33.26,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,brachioradialis,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_brachioradialis,82.24,17.78,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,anconeus,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_anconeus,11.02,2.53,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
healthy_adult_male_v0_1,UNIT,extensor_carpi_ulnaris,REFERENCE_VOLUME_MEAN,RIEM_2026,riem_2026_extensor_carpi_ulnaris,23.10,6.08,cm3,SELECTED,ADULT_MALE_EXACT_IN_VIVO_MRI,Selected from sex-specific male Riem 2026 Table 3. Reference-population prior; not an immutable user value.
